Dataset,Model,Method,Balanced_Accuracy,Flag Rate,Total_Tokens,LLM_Calls,Retrieval_Calls,Latency_Sec
scifact,Llama-3.1-8B-Instruct,Parametric (0% RAG),0.350 ± 0.000,0.0% ± 0.0%,206 ± 0,1.00 ± 0.00,0.00 ± 0.00,0.17s ± 0.01s
scifact,Llama-3.1-8B-Instruct,Always Retrieve,0.417 ± 0.000,100.0% ± 0.0%,570 ± 0,1.00 ± 0.00,1.00 ± 0.00,1.77s ± 0.02s
scifact,Llama-3.1-8B-Instruct,Granular,0.435 ± 0.000,0.0% ± 0.0%,1723 ± 1,3.32 ± 0.00,2.32 ± 0.00,4.98s ± 0.01s
scifact,Llama-3.1-8B-Instruct,Ensemble [Logic Check On],0.362 ± 0.000,42.8% ± 3.1%,784 ± 19,3.43 ± 0.03,0.43 ± 0.03,1.75s ± 0.07s
scifact,Llama-3.1-8B-Instruct,MeanTokEnt [Logic Check On],0.357 ± 0.000,56.0% ± 0.0%,525 ± 0,1.56 ± 0.00,0.56 ± 0.00,1.17s ± 0.01s
scifact,Llama-3.1-8B-Instruct,Ensemble,0.351 ± 0.000,39.0% ± 0.0%,427 ± 0,1.39 ± 0.00,0.39 ± 0.00,0.88s ± 0.03s
scifact,Llama-3.1-8B-Instruct,MaxSeqProb [Logic Check On],0.348 ± 0.000,23.7% ± 0.0%,343 ± 0,1.24 ± 0.00,0.24 ± 0.00,0.61s ± 0.01s
scifact,Llama-3.1-8B-Instruct,Perplexity [Logic Check On],0.348 ± 0.000,23.7% ± 0.0%,343 ± 0,1.24 ± 0.00,0.24 ± 0.00,0.62s ± 0.01s
scifact,Llama-3.1-8B-Instruct,LogicalContradiction [Logic Check On],0.299 ± 0.002,15.4% ± 0.2%,627 ± 0,3.15 ± 0.00,0.15 ± 0.00,1.33s ± 0.02s
scifact,Qwen3-4B-Instruct-2507,Parametric (0% RAG),0.454 ± 0.000,0.0% ± 0.0%,179 ± 0,1.00 ± 0.00,0.00 ± 0.00,0.19s ± 0.01s
scifact,Qwen3-4B-Instruct-2507,Always Retrieve,0.775 ± 0.001,100.0% ± 0.0%,555 ± 0,1.00 ± 0.00,1.00 ± 0.00,1.75s ± 0.00s
scifact,Qwen3-4B-Instruct-2507,Granular,0.708 ± 0.000,0.0% ± 0.0%,1309 ± 0,2.71 ± 0.00,1.71 ± 0.00,3.98s ± 0.03s
scifact,Qwen3-4B-Instruct-2507,MeanTokEnt [Logic Check On],0.733 ± 0.000,84.3% ± 0.0%,640 ± 0,1.84 ± 0.00,0.84 ± 0.00,1.65s ± 0.01s
scifact,Qwen3-4B-Instruct-2507,Ensemble,0.729 ± 0.000,76.7% ± 0.0%,603 ± 0,1.77 ± 0.00,0.77 ± 0.00,1.56s ± 0.01s
scifact,Qwen3-4B-Instruct-2507,MaxSeqProb [Logic Check On],0.727 ± 0.000,85.0% ± 0.0%,643 ± 1,1.85 ± 0.00,0.85 ± 0.00,1.67s ± 0.02s
scifact,Qwen3-4B-Instruct-2507,Perplexity [Logic Check On],0.727 ± 0.000,85.0% ± 0.0%,642 ± 0,1.85 ± 0.00,0.85 ± 0.00,1.69s ± 0.01s
scifact,Qwen3-4B-Instruct-2507,Ensemble [Logic Check On],0.598 ± 0.001,41.6% ± 0.3%,690 ± 2,3.41 ± 0.00,0.41 ± 0.00,1.89s ± 0.02s
scifact,Qwen3-4B-Instruct-2507,LogicalContradiction [Logic Check On],0.590 ± 0.001,36.4% ± 0.2%,665 ± 1,3.36 ± 0.00,0.36 ± 0.00,1.84s ± 0.04s
scifact,Mistral-7B-Instruct-v0.3,Parametric (0% RAG),0.401 ± 0.000,0.0% ± 0.0%,253 ± 0,1.00 ± 0.00,0.00 ± 0.00,0.12s ± 0.00s
scifact,Mistral-7B-Instruct-v0.3,Always Retrieve,0.727 ± 0.000,100.0% ± 0.0%,704 ± 0,1.00 ± 0.00,1.00 ± 0.00,1.77s ± 0.01s
scifact,Mistral-7B-Instruct-v0.3,Granular,0.622 ± 0.004,0.0% ± 0.0%,2139 ± 0,3.16 ± 0.00,2.16 ± 0.00,5.02s ± 0.03s
scifact,Mistral-7B-Instruct-v0.3,Ensemble [Logic Check On],0.635 ± 0.015,50.7% ± 1.7%,996 ± 10,3.51 ± 0.02,0.51 ± 0.02,1.98s ± 0.02s
scifact,Mistral-7B-Instruct-v0.3,MeanTokEnt [Logic Check On],0.627 ± 0.000,56.3% ± 0.0%,660 ± 0,1.56 ± 0.00,0.56 ± 0.00,1.14s ± 0.01s
scifact,Mistral-7B-Instruct-v0.3,Ensemble,0.611 ± 0.000,52.0% ± 0.0%,629 ± 0,1.52 ± 0.00,0.52 ± 0.00,1.05s ± 0.00s
scifact,Mistral-7B-Instruct-v0.3,Perplexity [Logic Check On],0.602 ± 0.000,51.0% ± 0.0%,619 ± 0,1.51 ± 0.00,0.51 ± 0.00,1.03s ± 0.01s
scifact,Mistral-7B-Instruct-v0.3,MaxSeqProb [Logic Check On],0.567 ± 0.000,35.0% ± 0.0%,500 ± 0,1.35 ± 0.00,0.35 ± 0.00,0.76s ± 0.01s
scifact,Mistral-7B-Instruct-v0.3,LogicalContradiction [Logic Check On],0.558 ± 0.013,28.6% ± 1.0%,839 ± 6,3.29 ± 0.01,0.29 ± 0.01,1.63s ± 0.03s
