Model,Method,AUROC,Threshold,Coverage,Risk,TPR,TNR
Llama-3.1-8B-Instruct,Ensemble,0.654 ± 0.001,0.498 ± 0.001,52.8% ± 0.3%,0.332 ± 0.001,0.605 ± 0.003,0.634 ± 0.003
Llama-3.1-8B-Instruct,MaxSeqProb,0.653 ± 0.000,0.219 ± 0.000,52.6% ± 0.0%,0.335 ± 0.000,0.602 ± 0.000,0.629 ± 0.000
Llama-3.1-8B-Instruct,Ensemble [Logic Check On],0.653 ± 0.000,0.470 ± 0.005,46.7% ± 1.1%,0.319 ± 0.004,0.664 ± 0.012,0.571 ± 0.010
Llama-3.1-8B-Instruct,Perplexity,0.652 ± 0.000,1.116 ± 0.000,52.7% ± 0.0%,0.336 ± 0.000,0.602 ± 0.000,0.629 ± 0.000
Llama-3.1-8B-Instruct,MaxSeqProb [Logic Check On],0.652 ± 0.000,0.219 ± 0.000,52.5% ± 0.0%,0.336 ± 0.000,0.602 ± 0.000,0.627 ± 0.000
Llama-3.1-8B-Instruct,Perplexity [Logic Check On],0.651 ± 0.000,1.116 ± 0.000,52.6% ± 0.0%,0.336 ± 0.000,0.601 ± 0.000,0.627 ± 0.000
Llama-3.1-8B-Instruct,MeanTokEnt,0.648 ± 0.000,0.279 ± 0.000,47.8% ± 0.0%,0.320 ± 0.000,0.656 ± 0.000,0.584 ± 0.000
Llama-3.1-8B-Instruct,MeanTokEnt [Logic Check On],0.646 ± 0.000,0.279 ± 0.000,47.8% ± 0.0%,0.321 ± 0.000,0.654 ± 0.000,0.582 ± 0.000
Llama-3.1-8B-Instruct,LogicalContradiction [Logic Check On],0.483 ± 0.000,inf,100.0% ± 0.0%,0.443 ± 0.000,0.000 ± 0.000,1.000 ± 0.000
Mistral-7B-Instruct-v0.3,Ensemble [Logic Check On],0.688 ± 0.002,0.463 ± 0.007,44.4% ± 0.9%,0.319 ± 0.005,0.713 ± 0.010,0.597 ± 0.008
Mistral-7B-Instruct-v0.3,Ensemble,0.686 ± 0.001,0.491 ± 0.030,53.7% ± 8.7%,0.364 ± 0.021,0.600 ± 0.085,0.670 ± 0.089
Mistral-7B-Instruct-v0.3,MaxSeqProb,0.650 ± 0.000,0.132 ± 0.000,36.1% ± 0.0%,0.317 ± 0.000,0.768 ± 0.000,0.486 ± 0.000
Mistral-7B-Instruct-v0.3,MaxSeqProb [Logic Check On],0.649 ± 0.001,0.131 ± 0.000,35.9% ± 0.0%,0.317 ± 0.000,0.769 ± 0.000,0.483 ± 0.001
Mistral-7B-Instruct-v0.3,Perplexity,0.605 ± 0.000,1.037 ± 0.000,29.5% ± 0.0%,0.320 ± 0.000,0.809 ± 0.000,0.395 ± 0.000
Mistral-7B-Instruct-v0.3,Perplexity [Logic Check On],0.605 ± 0.001,1.034 ± 0.002,27.8% ± 1.1%,0.308 ± 0.008,0.826 ± 0.011,0.379 ± 0.011
Mistral-7B-Instruct-v0.3,MeanTokEnt [Logic Check On],0.576 ± 0.001,0.093 ± 0.005,21.8% ± 1.1%,0.275 ± 0.011,0.878 ± 0.011,0.312 ± 0.012
Mistral-7B-Instruct-v0.3,MeanTokEnt,0.574 ± 0.000,0.105 ± 0.000,24.8% ± 0.0%,0.303 ± 0.000,0.847 ± 0.000,0.342 ± 0.000
Mistral-7B-Instruct-v0.3,LogicalContradiction [Logic Check On],0.401 ± 0.002,inf,100.0% ± 0.0%,0.493 ± 0.001,0.000 ± 0.000,1.000 ± 0.000
Qwen3-4B-Instruct-2507,MaxSeqProb [Logic Check On],0.687 ± 0.000,0.002 ± 0.000,52.1% ± 0.0%,0.299 ± 0.000,0.638 ± 0.000,0.641 ± 0.000
Qwen3-4B-Instruct-2507,Perplexity [Logic Check On],0.686 ± 0.000,1.001 ± 0.000,52.1% ± 0.0%,0.300 ± 0.000,0.637 ± 0.000,0.641 ± 0.000
Qwen3-4B-Instruct-2507,MeanTokEnt [Logic Check On],0.683 ± 0.000,0.007 ± 0.000,52.1% ± 0.0%,0.299 ± 0.000,0.638 ± 0.000,0.641 ± 0.000
Qwen3-4B-Instruct-2507,MaxSeqProb,0.674 ± 0.000,0.002 ± 0.000,52.1% ± 0.0%,0.299 ± 0.000,0.631 ± 0.000,0.633 ± 0.000
Qwen3-4B-Instruct-2507,Perplexity,0.673 ± 0.000,1.001 ± 0.000,52.1% ± 0.0%,0.300 ± 0.000,0.631 ± 0.000,0.633 ± 0.000
Qwen3-4B-Instruct-2507,MeanTokEnt,0.671 ± 0.000,0.007 ± 0.000,52.1% ± 0.0%,0.299 ± 0.000,0.631 ± 0.000,0.633 ± 0.000
Qwen3-4B-Instruct-2507,Ensemble [Logic Check On],0.665 ± 0.004,0.422 ± 0.003,53.2% ± 2.5%,0.305 ± 0.009,0.623 ± 0.029,0.649 ± 0.022
Qwen3-4B-Instruct-2507,Ensemble,0.657 ± 0.002,0.423 ± 0.002,52.6% ± 1.5%,0.303 ± 0.003,0.624 ± 0.014,0.635 ± 0.015
Qwen3-4B-Instruct-2507,LogicalContradiction [Logic Check On],0.470 ± 0.000,inf,100.0% ± 0.0%,0.431 ± 0.000,0.000 ± 0.000,1.000 ± 0.000
