Dataset,Model,Method,Balanced_Accuracy,Flag Rate,Total_Tokens,LLM_Calls,Retrieval_Calls,Latency_Sec,Δ Bal.Acc. (%),Δ Tokens (%)
quantemp,Llama-3.1-8B-Instruct,Parametric (0% RAG),0.403 ± 0.000,0.0% ± 0.0%,202 ± 0,1.00 ± 0.00,0.00 ± 0.00,0.09s ± 0.00s,-33.5%,-83.8%
quantemp,Llama-3.1-8B-Instruct,Always Retrieve,0.605 ± 0.001,100.0% ± 0.0%,1244 ± 0,1.00 ± 0.00,1.00 ± 0.00,2.69s ± 0.03s,+0.0%,+0.0%
quantemp,Llama-3.1-8B-Instruct,Granular,0.531 ± 0.000,0.0% ± 0.0%,4581 ± 0,4.31 ± 0.00,3.31 ± 0.00,9.86s ± 0.08s,-12.3%,+268.1%
quantemp,Llama-3.1-8B-Instruct,Ensemble,0.550 ± 0.004,48.7% ± 2.0%,811 ± 25,1.49 ± 0.02,0.49 ± 0.02,1.43s ± 0.06s,-9.2%,-34.8%
quantemp,Llama-3.1-8B-Instruct,MeanTokEnt [Logic Check On],0.549 ± 0.001,50.3% ± 0.2%,832 ± 2,1.50 ± 0.00,0.50 ± 0.00,1.48s ± 0.02s,-9.4%,-33.2%
quantemp,Llama-3.1-8B-Instruct,MaxSeqProb [Logic Check On],0.543 ± 0.000,46.9% ± 0.0%,787 ± 0,1.47 ± 0.00,0.47 ± 0.00,1.39s ± 0.01s,-10.3%,-36.8%
quantemp,Llama-3.1-8B-Instruct,Perplexity [Logic Check On],0.542 ± 0.001,46.9% ± 0.0%,787 ± 0,1.47 ± 0.00,0.47 ± 0.00,1.39s ± 0.02s,-10.5%,-36.8%
quantemp,Llama-3.1-8B-Instruct,Ensemble [Logic Check On],0.540 ± 0.001,48.0% ± 0.3%,1141 ± 5,3.48 ± 0.00,0.48 ± 0.00,2.33s ± 0.01s,-10.8%,-8.3%
quantemp,Llama-3.1-8B-Instruct,LogicalContradiction [Logic Check On],0.426 ± 0.000,0.0% ± 0.0%,541 ± 0,3.00 ± 0.00,0.00 ± 0.00,1.01s ± 0.00s,-29.7%,-56.5%
quantemp,Qwen3-4B-Instruct-2507,Parametric (0% RAG),0.367 ± 0.000,0.0% ± 0.0%,175 ± 0,1.00 ± 0.00,0.00 ± 0.00,0.06s ± 0.00s,-38.1%,-86.2%
quantemp,Qwen3-4B-Instruct-2507,Always Retrieve,0.593 ± 0.000,100.0% ± 0.0%,1265 ± 0,1.00 ± 0.00,1.00 ± 0.00,2.63s ± 0.04s,+0.0%,+0.0%
quantemp,Qwen3-4B-Instruct-2507,Granular,0.519 ± 0.000,0.0% ± 0.0%,3644 ± 0,3.55 ± 0.00,2.55 ± 0.00,7.27s ± 0.07s,-12.5%,+188.0%
quantemp,Qwen3-4B-Instruct-2507,Ensemble,0.515 ± 0.003,50.1% ± 2.2%,818 ± 27,1.50 ± 0.02,0.50 ± 0.02,1.39s ± 0.07s,-13.1%,-35.4%
