Dataset,Model,Method,Balanced_Accuracy,Flag Rate,Total_Tokens,LLM_Calls,Retrieval_Calls,Latency_Sec,Δ Bal.Acc. (%),Δ Tokens (%)
quantemp,Qwen3-4B-Instruct-2507,MaxSeqProb [Logic Check On],0.514 ± 0.001,49.6% ± 0.0%,812 ± 0,1.50 ± 0.00,0.50 ± 0.00,1.39s ± 0.01s,-13.3%,-35.8%
quantemp,Qwen3-4B-Instruct-2507,MeanTokEnt [Logic Check On],0.513 ± 0.000,49.6% ± 0.0%,812 ± 0,1.50 ± 0.00,0.50 ± 0.00,1.37s ± 0.01s,-13.4%,-35.8%
quantemp,Qwen3-4B-Instruct-2507,Perplexity [Logic Check On],0.512 ± 0.001,49.5% ± 0.0%,812 ± 0,1.50 ± 0.00,0.50 ± 0.00,1.40s ± 0.02s,-13.6%,-35.8%
quantemp,Qwen3-4B-Instruct-2507,Ensemble [Logic Check On],0.502 ± 0.003,45.1% ± 1.0%,1050 ± 12,3.45 ± 0.01,0.45 ± 0.01,1.87s ± 0.02s,-15.3%,-17.0%
quantemp,Qwen3-4B-Instruct-2507,LogicalContradiction [Logic Check On],0.372 ± 0.000,0.0% ± 0.0%,470 ± 0,3.00 ± 0.00,0.00 ± 0.00,0.68s ± 0.01s,-37.2%,-62.8%
quantemp,Mistral-7B-Instruct-v0.3,Parametric (0% RAG),0.451 ± 0.000,0.0% ± 0.0%,246 ± 0,1.00 ± 0.00,0.00 ± 0.00,0.11s ± 0.00s,-34.3%,-83.2%
quantemp,Mistral-7B-Instruct-v0.3,Always Retrieve,0.686 ± 0.002,100.0% ± 0.0%,1467 ± 0,1.00 ± 0.00,1.00 ± 0.00,2.76s ± 0.02s,+0.0%,+0.0%
quantemp,Mistral-7B-Instruct-v0.3,Granular,0.598 ± 0.004,0.0% ± 0.0%,5393 ± 9,4.23 ± 0.00,3.23 ± 0.00,10.11s ± 0.02s,-12.7%,+267.5%
quantemp,Mistral-7B-Instruct-v0.3,MeanTokEnt [Logic Check On],0.662 ± 0.003,76.8% ± 1.2%,1380 ± 18,1.77 ± 0.01,0.77 ± 0.01,2.21s ± 0.03s,-3.5%,-6.0%
quantemp,Mistral-7B-Instruct-v0.3,Perplexity [Logic Check On],0.657 ± 0.003,71.5% ± 0.9%,1302 ± 13,1.72 ± 0.01,0.72 ± 0.01,2.08s ± 0.03s,-4.2%,-11.2%
quantemp,Mistral-7B-Instruct-v0.3,Ensemble,0.650 ± 0.004,66.3% ± 0.4%,1227 ± 6,1.66 ± 0.00,0.66 ± 0.00,1.95s ± 0.00s,-5.3%,-16.4%
quantemp,Mistral-7B-Instruct-v0.3,MaxSeqProb [Logic Check On],0.643 ± 0.000,65.5% ± 0.0%,1215 ± 0,1.66 ± 0.00,0.66 ± 0.00,1.92s ± 0.00s,-6.2%,-17.2%
quantemp,Mistral-7B-Instruct-v0.3,Ensemble [Logic Check On],0.629 ± 0.005,57.5% ± 0.7%,1486 ± 11,3.58 ± 0.01,0.58 ± 0.01,2.79s ± 0.01s,-8.3%,+1.3%
quantemp,Mistral-7B-Instruct-v0.3,LogicalContradiction [Logic Check On],0.457 ± 0.001,0.0% ± 0.0%,638 ± 0,3.00 ± 0.00,0.00 ± 0.00,1.19s ± 0.00s,-33.4%,-56.5%
scifact,Llama-3.1-8B-Instruct,Parametric (0% RAG),0.329 ± 0.000,0.0% ± 0.0%,206 ± 0,1.00 ± 0.00,0.00 ± 0.00,0.15s ± 0.00s,-25.5%,-63.8%
scifact,Llama-3.1-8B-Instruct,Always Retrieve,0.442 ± 0.000,100.0% ± 0.0%,569 ± 0,1.00 ± 0.00,1.00 ± 0.00,1.78s ± 0.01s,+0.0%,+0.0%
scifact,Llama-3.1-8B-Instruct,Granular,0.403 ± 0.001,0.0% ± 0.0%,1930 ± 1,3.65 ± 0.00,2.65 ± 0.00,5.61s ± 0.03s,-8.8%,+238.9%
scifact,Llama-3.1-8B-Instruct,Ensemble [Logic Check On],0.386 ± 0.003,51.9% ± 3.8%,829 ± 22,3.52 ± 0.04,0.52 ± 0.04,1.86s ± 0.07s,-12.5%,+45.7%
scifact,Llama-3.1-8B-Instruct,MeanTokEnt [Logic Check On],0.385 ± 0.000,67.3% ± 0.0%,588 ± 0,1.67 ± 0.00,0.67 ± 0.00,1.37s ± 0.01s,-12.8%,+3.3%
scifact,Llama-3.1-8B-Instruct,MaxSeqProb [Logic Check On],0.371 ± 0.000,67.3% ± 0.0%,589 ± 0,1.67 ± 0.00,0.67 ± 0.00,1.36s ± 0.02s,-15.9%,+3.4%
scifact,Llama-3.1-8B-Instruct,Perplexity [Logic Check On],0.371 ± 0.000,67.3% ± 0.0%,589 ± 0,1.67 ± 0.00,0.67 ± 0.00,1.37s ± 0.01s,-15.9%,+3.5%
scifact,Llama-3.1-8B-Instruct,Ensemble,0.362 ± 0.009,61.1% ± 2.4%,552 ± 15,1.61 ± 0.02,0.61 ± 0.02,1.24s ± 0.05s,-18.0%,-3.0%
scifact,Llama-3.1-8B-Instruct,LogicalContradiction [Logic Check On],0.325 ± 0.002,11.7% ± 0.0%,601 ± 0,3.12 ± 0.00,0.12 ± 0.00,1.18s ± 0.02s,-26.4%,+5.6%
scifact,Qwen3-4B-Instruct-2507,Parametric (0% RAG),0.432 ± 0.000,0.0% ± 0.0%,179 ± 0,1.00 ± 0.00,0.00 ± 0.00,0.09s ± 0.00s,-43.7%,-67.6%
scifact,Qwen3-4B-Instruct-2507,Always Retrieve,0.768 ± 0.000,100.0% ± 0.0%,552 ± 0,1.00 ± 0.00,1.00 ± 0.00,1.71s ± 0.01s,+0.0%,+0.0%
scifact,Qwen3-4B-Instruct-2507,Granular,0.720 ± 0.000,0.0% ± 0.0%,1274 ± 0,2.64 ± 0.00,1.64 ± 0.00,3.23s ± 0.01s,-6.2%,+130.6%
scifact,Qwen3-4B-Instruct-2507,Ensemble,0.714 ± 0.004,77.1% ± 0.6%,603 ± 3,1.77 ± 0.00,0.77 ± 0.00,1.42s ± 0.02s,-7.0%,+9.2%
scifact,Qwen3-4B-Instruct-2507,MaxSeqProb [Logic Check On],0.700 ± 0.000,76.3% ± 0.0%,591 ± 0,1.76 ± 0.00,0.76 ± 0.00,1.38s ± 0.00s,-8.8%,+6.9%
scifact,Qwen3-4B-Instruct-2507,Perplexity [Logic Check On],0.700 ± 0.000,76.3% ± 0.0%,591 ± 0,1.76 ± 0.00,0.76 ± 0.00,1.38s ± 0.01s,-8.8%,+6.9%
scifact,Qwen3-4B-Instruct-2507,MeanTokEnt [Logic Check On],0.681 ± 0.000,70.0% ± 0.0%,559 ± 0,1.70 ± 0.00,0.70 ± 0.00,1.29s ± 0.01s,-11.3%,+1.2%
scifact,Qwen3-4B-Instruct-2507,Ensemble [Logic Check On],0.628 ± 0.007,40.1% ± 1.1%,679 ± 6,3.40 ± 0.01,0.40 ± 0.01,1.29s ± 0.01s,-18.1%,+22.9%
scifact,Qwen3-4B-Instruct-2507,LogicalContradiction [Logic Check On],0.615 ± 0.000,37.0% ± 0.0%,658 ± 0,3.37 ± 0.00,0.37 ± 0.00,1.24s ± 0.01s,-19.9%,+19.1%
scifact,Mistral-7B-Instruct-v0.3,Parametric (0% RAG),0.435 ± 0.000,0.0% ± 0.0%,253 ± 0,1.00 ± 0.00,0.00 ± 0.00,0.10s ± 0.00s,-38.1%,-64.0%
scifact,Mistral-7B-Instruct-v0.3,Always Retrieve,0.703 ± 0.000,100.0% ± 0.0%,703 ± 0,1.00 ± 0.00,1.00 ± 0.00,1.74s ± 0.01s,+0.0%,+0.0%
scifact,Mistral-7B-Instruct-v0.3,Granular,0.616 ± 0.000,0.0% ± 0.0%,2065 ± 1,3.05 ± 0.00,2.05 ± 0.00,4.77s ± 0.01s,-12.4%,+193.6%
scifact,Mistral-7B-Instruct-v0.3,MeanTokEnt [Logic Check On],0.647 ± 0.000,58.0% ± 0.0%,672 ± 0,1.58 ± 0.00,0.58 ± 0.00,1.14s ± 0.00s,-8.0%,-4.5%
scifact,Mistral-7B-Instruct-v0.3,Ensemble [Logic Check On],0.609 ± 0.016,39.7% ± 6.9%,919 ± 46,3.40 ± 0.07,0.40 ± 0.07,1.73s ± 0.13s,-13.4%,+30.6%
scifact,Mistral-7B-Instruct-v0.3,Ensemble,0.602 ± 0.035,46.4% ± 8.8%,585 ± 66,1.46 ± 0.09,0.46 ± 0.09,0.93s ± 0.16s,-14.4%,-16.8%
scifact,Mistral-7B-Instruct-v0.3,Perplexity [Logic Check On],0.587 ± 0.000,44.3% ± 0.0%,567 ± 0,1.44 ± 0.00,0.44 ± 0.00,0.90s ± 0.02s,-16.5%,-19.4%
scifact,Mistral-7B-Instruct-v0.3,MaxSeqProb [Logic Check On],0.577 ± 0.000,31.7% ± 0.0%,482 ± 0,1.32 ± 0.00,0.32 ± 0.00,0.69s ± 0.01s,-18.0%,-31.5%
scifact,Mistral-7B-Instruct-v0.3,LogicalContradiction [Logic Check On],0.565 ± 0.005,24.8% ± 0.7%,810 ± 6,3.25 ± 0.01,0.25 ± 0.01,1.47s ± 0.02s,-19.7%,+15.1%
