Model,Method,AUROC,Threshold,Coverage,Risk,TPR,TNR
Llama-3.1-8B-Instruct,MeanTokEnt [Logic Check On],0.658 ± 0.000,0.138 ± 0.000,35.6% ± 0.0%,0.559 ± 0.000,0.715 ± 0.000,0.520 ± 0.000
Llama-3.1-8B-Instruct,Ensemble [Logic Check On],0.655 ± 0.003,0.530 ± 0.007,47.9% ± 1.6%,0.595 ± 0.003,0.592 ± 0.016,0.644 ± 0.019
Llama-3.1-8B-Instruct,MeanTokEnt,0.639 ± 0.000,0.145 ± 0.000,39.3% ± 0.0%,0.566 ± 0.000,0.677 ± 0.000,0.550 ± 0.000
Llama-3.1-8B-Instruct,Ensemble,0.636 ± 0.003,0.506 ± 0.008,42.4% ± 1.5%,0.580 ± 0.004,0.643 ± 0.015,0.575 ± 0.015
Llama-3.1-8B-Instruct,MaxSeqProb [Logic Check On],0.596 ± 0.000,0.267 ± 0.000,36.6% ± 0.0%,0.591 ± 0.000,0.690 ± 0.000,0.496 ± 0.000
Llama-3.1-8B-Instruct,Perplexity [Logic Check On],0.596 ± 0.000,1.055 ± 0.000,36.6% ± 0.0%,0.591 ± 0.000,0.690 ± 0.000,0.496 ± 0.000
Llama-3.1-8B-Instruct,MaxSeqProb,0.578 ± 0.000,0.162 ± 0.000,18.2% ± 0.0%,0.503 ± 0.000,0.867 ± 0.000,0.291 ± 0.000
Llama-3.1-8B-Instruct,Perplexity,0.578 ± 0.000,1.033 ± 0.000,18.2% ± 0.0%,0.503 ± 0.000,0.867 ± 0.000,0.291 ± 0.000
Llama-3.1-8B-Instruct,LogicalContradiction [Logic Check On],0.508 ± 0.000,1.000 ± 0.000,88.6% ± 0.0%,0.695 ± 0.000,0.119 ± 0.000,0.898 ± 0.000
Mistral-7B-Instruct-v0.3,Ensemble [Logic Check On],0.641 ± 0.001,0.528 ± 0.021,58.2% ± 5.1%,0.431 ± 0.005,0.524 ± 0.048,0.701 ± 0.053
Mistral-7B-Instruct-v0.3,Perplexity [Logic Check On],0.634 ± 0.001,1.030 ± 0.000,55.7% ± 0.0%,0.435 ± 0.000,0.541 ± 0.001,0.668 ± 0.001
Mistral-7B-Instruct-v0.3,Perplexity,0.633 ± 0.000,1.030 ± 0.000,55.7% ± 0.0%,0.435 ± 0.000,0.539 ± 0.000,0.664 ± 0.000
Mistral-7B-Instruct-v0.3,MaxSeqProb [Logic Check On],0.633 ± 0.001,0.143 ± 0.002,64.2% ± 0.3%,0.444 ± 0.000,0.460 ± 0.004,0.757 ± 0.002
Mistral-7B-Instruct-v0.3,MaxSeqProb,0.633 ± 0.000,0.145 ± 0.000,64.4% ± 0.0%,0.443 ± 0.000,0.456 ± 0.000,0.755 ± 0.000
Mistral-7B-Instruct-v0.3,MeanTokEnt,0.631 ± 0.000,0.148 ± 0.000,65.5% ± 0.0%,0.445 ± 0.000,0.445 ± 0.000,0.766 ± 0.000
Mistral-7B-Instruct-v0.3,MeanTokEnt [Logic Check On],0.630 ± 0.000,0.053 ± 0.000,39.6% ± 0.0%,0.394 ± 0.000,0.705 ± 0.001,0.508 ± 0.001
Mistral-7B-Instruct-v0.3,Ensemble,0.625 ± 0.003,0.476 ± 0.036,53.5% ± 10.6%,0.427 ± 0.020,0.562 ± 0.105,0.641 ± 0.107
Mistral-7B-Instruct-v0.3,LogicalContradiction [Logic Check On],0.584 ± 0.002,1.000 ± 0.000,69.5% ± 0.6%,0.468 ± 0.001,0.384 ± 0.008,0.784 ± 0.003
Qwen3-4B-Instruct-2507,Ensemble [Logic Check On],0.642 ± 0.002,0.520 ± 0.024,57.7% ± 1.2%,0.462 ± 0.001,0.534 ± 0.009,0.726 ± 0.016
Qwen3-4B-Instruct-2507,LogicalContradiction [Logic Check On],0.613 ± 0.000,1.000 ± 0.000,62.2% ± 0.0%,0.483 ± 0.000,0.475 ± 0.000,0.751 ± 0.000
Qwen3-4B-Instruct-2507,Ensemble,0.553 ± 0.006,0.407 ± 0.025,21.3% ± 0.2%,0.330 ± 0.002,0.876 ± 0.002,0.329 ± 0.001
Qwen3-4B-Instruct-2507,MaxSeqProb [Logic Check On],0.468 ± 0.000,0.001 ± 0.000,19.4% ± 0.0%,0.516 ± 0.000,0.825 ± 0.000,0.220 ± 0.000
Qwen3-4B-Instruct-2507,Perplexity [Logic Check On],0.461 ± 0.000,1.000 ± 0.000,19.4% ± 0.0%,0.516 ± 0.000,0.825 ± 0.000,0.220 ± 0.000
Qwen3-4B-Instruct-2507,MaxSeqProb,0.458 ± 0.000,0.001 ± 0.000,19.4% ± 0.0%,0.516 ± 0.000,0.823 ± 0.000,0.217 ± 0.000
Qwen3-4B-Instruct-2507,Perplexity,0.450 ± 0.000,1.000 ± 0.000,19.4% ± 0.0%,0.516 ± 0.000,0.823 ± 0.000,0.217 ± 0.000
Qwen3-4B-Instruct-2507,MeanTokEnt [Logic Check On],0.449 ± 0.000,0.004 ± 0.000,25.7% ± 0.0%,0.524 ± 0.000,0.765 ± 0.000,0.286 ± 0.000
Qwen3-4B-Instruct-2507,MeanTokEnt,0.443 ± 0.000,0.004 ± 0.000,25.7% ± 0.0%,0.524 ± 0.000,0.762 ± 0.000,0.282 ± 0.000
